Delete,Delete
"Are you sure you want to delete this?","Are you sure you want to delete this?"
Save,Save
"Add RoW Data","Add RoW Data"
"Edit Row Data","Edit Row Data"
"Register here","Register here"
Name,Name
Email,Email
Address,Address
"row data no longer exist.","row data no longer exist."
"Edit Row Data ","Edit Row Data "
"Add Row Data","Add Row Data"
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"Grid List","Grid List"
"Row data has been successfully saved.","Row data has been successfully saved."
"You have deleted the post.","You have deleted the post."
"Something went wrong while saving the post.","Something went wrong while saving the post."
"Manage Custom Blogs","Manage Custom Blogs"
"Add New Blog","Add New Blog"
"You saved the post.","You saved the post."
Edit,Edit
"Custom Blog Post","Custom Blog Post"
"Add New Post","Add New Post"
"Are you sure you wan't to delete selected items?","Are you sure you wan't to delete selected items?"
ID,ID
"Add New Row","Add New Row"
"Do you want to delete selected row record?","Do you want to delete selected row record?"
